Age,Credit amount,Duration,Sex_male,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Housing_own,Housing_rent,Score,Recommendation
26,907,8,True,False,False,False,False,False,False,False,True,False,0.33,REJECT
35,3447,12,False,False,False,True,False,False,False,False,True,False,0.47,REJECT
41,2712,36,True,False,False,False,True,False,False,False,True,False,0.46,REJECT
32,1938,24,True,False,False,False,False,True,False,False,True,False,0.56,REJECT
33,1851,24,True,False,False,False,False,True,False,False,True,False,0.43,REJECT
38,3512,24,True,True,False,False,False,False,False,False,True,False,0.83,REJECT
42,2427,18,True,False,False,False,False,False,False,False,True,False,0.51,REJECT
55,1190,18,False,False,False,False,False,False,True,False,False,False,0.19,REJECT
31,1546,10,True,True,False,False,False,False,False,False,True,False,0.58,REJECT
34,3017,12,False,False,False,False,True,False,False,False,False,True,0.44,REJECT
22,276,9,True,True,False,False,False,False,False,False,False,True,0.42,REJECT
38,926,12,False,True,False,False,False,False,False,False,True,False,0.07,APPROVE
27,1391,9,True,False,False,False,False,False,False,False,True,False,0.17,REJECT
43,4057,24,True,False,False,False,True,False,False,False,True,False,0.37,REJECT
32,931,6,False,True,False,False,False,False,False,False,True,False,0.3,REJECT
31,2901,10,False,True,False,False,False,False,False,False,False,True,0.53,REJECT
40,684,12,True,False,False,True,False,False,False,False,False,True,0.23,REJECT
50,7476,48,True,False,False,True,False,False,False,False,False,False,1.0,REJECT
20,2221,15,False,False,False,False,True,False,False,False,False,True,0.1,APPROVE
43,4843,12,True,True,False,False,False,False,False,False,False,True,0.27,REJECT
43,2515,18,True,False,False,False,True,False,False,False,True,False,0.37,REJECT
31,3651,12,True,True,False,False,False,False,False,False,True,False,0.2,REJECT
29,1494,4,True,True,False,False,False,False,False,False,True,False,0.28,REJECT
40,5381,48,True,False,False,False,False,False,False,True,False,False,0.93,REJECT
37,3399,12,True,False,False,False,False,True,False,False,True,False,0.34,REJECT
44,1478,15,True,False,False,False,True,False,False,False,True,False,0.26,REJECT
31,1449,6,True,False,False,False,False,False,False,False,True,False,0.31,REJECT
48,1743,24,True,False,False,False,False,True,False,False,True,False,0.45,REJECT
52,3077,12,True,False,False,False,False,True,False,False,True,False,0.08,APPROVE
21,1766,6,True,False,False,False,True,False,False,False,False,True,0.16,REJECT
24,2030,9,True,False,False,False,True,False,False,False,True,False,0.12,REJECT
57,1154,11,False,False,False,False,False,True,False,False,True,False,0.03,APPROVE
24,4272,20,False,False,False,False,True,False,False,False,True,False,0.46,REJECT
24,5595,72,True,False,False,False,False,True,False,False,True,False,0.98,REJECT
39,2122,12,True,True,False,False,False,False,False,False,False,True,0.34,REJECT
27,4139,24,True,False,False,False,False,False,False,False,True,False,0.42,REJECT
36,846,7,True,False,False,False,False,True,False,False,False,False,0.1,APPROVE
31,1532,15,False,False,False,True,False,False,False,False,True,False,0.33,REJECT
35,3976,21,True,False,False,False,True,False,False,False,True,False,0.36,REJECT
66,766,12,True,False,False,False,False,True,False,False,True,False,0.45,REJECT
23,1246,24,True,True,False,False,False,False,False,False,True,False,0.79,REJECT
36,1542,12,True,False,False,False,False,False,False,False,True,False,0.39,REJECT
31,929,24,True,False,False,False,True,False,False,False,True,False,0.49,REJECT
33,3029,15,True,True,False,False,False,False,False,False,True,False,0.36,REJECT
43,1533,18,True,False,False,False,True,False,False,False,True,False,0.56,REJECT
38,6681,48,True,False,False,False,False,False,False,False,False,False,0.97,REJECT
41,888,12,True,True,False,False,False,False,False,False,True,False,0.18,REJECT
40,4297,18,True,False,False,False,True,False,False,False,True,False,0.26,REJECT
66,1908,30,True,False,False,False,False,False,False,False,True,False,0.65,REJECT
26,3235,24,True,False,False,False,False,True,False,False,True,False,0.42,REJECT
24,7408,60,False,True,False,False,False,False,False,False,True,False,1.0,REJECT
21,6568,24,True,False,False,False,False,False,False,False,True,False,0.7,REJECT
22,3632,24,False,True,False,False,False,False,False,False,False,True,0.59,REJECT
39,9436,54,True,True,False,False,False,False,False,False,True,False,1.0,REJECT
